Frequency (Hz)	Level (dB)
172.265625	-6.113823
344.531250	-1.466121
516.796875	-4.063662
689.062500	-7.075759
861.328125	-13.290615
1033.593750	-17.170057
1205.859375	-17.118359
1378.125000	-17.986078
1550.390625	-11.752136
1722.656250	-9.697904
1894.921875	-15.238708
2067.187500	-18.052397
2239.453125	-16.381819
2411.718750	-20.729319
2583.984375	-21.904907
2756.250000	-22.719130
2928.515625	-27.657160
3100.781250	-31.512976
3273.046875	-36.019474
3445.312500	-36.724083
3617.578125	-36.548401
3789.843750	-36.155643
3962.109375	-39.735516
4134.375000	-44.454582
4306.640625	-48.778225
4478.906250	-54.698616
4651.171875	-61.727337
4823.437500	-67.455620
4995.703125	-75.726120
5167.968750	-77.278931
5340.234375	-76.508644
5512.500000	-77.229156
5684.765625	-76.827103
5857.031250	-78.954819
6029.296875	-80.192207
6201.562500	-75.121262
6373.828125	-70.172874
6546.093750	-64.341049
6718.359375	-60.737579
6890.625000	-56.124035
7062.890625	-54.358822
7235.156250	-53.775932
7407.421875	-53.257576
7579.687500	-56.135834
7751.953125	-58.374916
7924.218750	-57.448467
8096.484375	-52.899273
8268.750000	-48.229385
8441.015625	-50.984734
8613.281250	-53.212715
8785.546875	-51.922054
8957.812500	-56.206882
9130.078125	-58.989201
9302.343750	-58.610191
9474.609375	-62.387947
9646.875000	-70.714653
9819.140625	-75.652565
9991.406250	-79.435532
10163.671875	-84.181801
10335.937500	-84.878906
10508.203125	-89.391594
10680.468750	-95.544464
10852.734375	-96.612434
11025.000000	-96.682961
11197.265625	-96.681976
11369.531250	-95.710320
11541.796875	-90.355309
11714.062500	-86.836868
11886.328125	-87.496231
12058.593750	-83.266304
12230.859375	-79.739494
12403.125000	-76.192413
12575.390625	-68.135040
12747.656250	-65.608597
12919.921875	-67.005692
13092.187500	-65.741142
13264.453125	-62.277294
13436.718750	-63.194767
13608.984375	-62.683598
13781.250000	-60.352417
13953.515625	-64.795998
14125.781250	-70.328598
14298.046875	-71.120857
14470.312500	-71.370270
14642.578125	-67.703606
14814.843750	-68.933365
14987.109375	-72.456406
15159.375000	-73.896835
15331.640625	-78.510391
15503.906250	-84.216812
15676.171875	-89.016609
15848.437500	-93.395538
16020.703125	-96.186829
16192.968750	-96.078827
16365.234375	-95.515366
16537.500000	-95.944832
16709.765625	-96.202187
16882.031250	-96.617271
17054.296875	-96.351868
17226.562500	-95.152176
17398.828125	-92.405830
17571.093750	-87.942902
17743.359375	-82.468719
17915.625000	-79.695862
18087.890625	-78.195717
18260.156250	-74.848953
18432.421875	-74.952156
18604.687500	-78.871071
18776.953125	-78.924377
18949.218750	-78.884628
19121.484375	-75.290207
19293.750000	-72.103874
19466.015625	-73.899101
19638.281250	-75.836678
19810.546875	-74.894730
19982.812500	-77.894760
20155.078125	-80.553612
20327.343750	-78.544601
20499.609375	-80.899841
20671.875000	-88.894501
20844.140625	-93.040962
21016.406250	-95.238876
21188.671875	-97.191177
21360.937500	-97.039078
21533.203125	-97.519058
21705.468750	-97.394661
21877.734375	-97.736084
